epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3917,2.38738,3.84276,0.00937,0.73634,0.2399,0.26427,0.17634,1.99106,2.43424,0.01044,4.96094e-05,4.96094e-05,4.96094e-05
2,188.819,2.4014,3.03215,0.00926,0.63273,0.25921,0.27044,0.18231,1.94619,2.10203,0.01031,3.875e-05,3.875e-05,3.875e-05
3,302.438,2.38116,2.81104,0.00871,0.59932,0.2685,0.27799,0.19341,1.94641,2.01478,0.01026,2.75e-05,2.75e-05,2.75e-05
4,419.953,2.36343,2.66103,0.00847,0.60825,0.26928,0.28326,0.19335,1.92443,1.9802,0.01005,1.625e-05,1.625e-05,1.625e-05
